"stud_id" "score" "passed"
"1" 1 4.18550125571857 "yes"
"2" 2 5.29558473489937 "yes"
"3" 3 4.42210563771075 "yes"
"4" 4 5.21439092390158 "yes"
"5" 5 5.96724501711898 "yes"
"6" 6 4.57904702685791 "yes"
"7" 7 5.03283805336381 "yes"
"8" 8 4.78559056832301 "yes"
"9" 9 6.24622503851698 "yes"
"10" 10 5.22118984248204 "yes"
"11" 11 4.67239107991663 "yes"
"12" 12 5.39010786670266 "yes"
"13" 13 4.81188878143525 "yes"
"14" 14 4.85025219889169 "yes"
"15" 15 3.5216668913324 "yes"
"16" 16 4.28871404634024 "yes"
"17" 17 4.72990915464275 "yes"
"18" 18 6.19876940641562 "yes"
"19" 19 3.93982576811568 "yes"
"20" 20 7.2907761969099 "yes"
"21" 21 3.19472332964702 "no"
"22" 22 3.07238996944344 "no"
"23" 23 3.26468239035841 "no"
"24" 24 2.74199026116121 "no"
"25" 25 3.54028639558776 "no"
"26" 26 2.13346716267706 "no"
"27" 27 3.42400081058336 "no"
"28" 28 2.49751389785781 "no"
"29" 29 1.63244296531154 "no"
"30" 30 4.18765607557932 "no"
"31" 31 3.95298170292796 "no"
"32" 32 2.91770617566456 "no"
"33" 33 3.24381066073272 "no"
"34" 34 2.80528528714762 "no"
"35" 35 2.62800370154601 "no"
"36" 36 2.97972161563555 "no"
"37" 37 2.86961038652339 "no"
"38" 38 2.19955963226849 "no"
"39" 39 3.07417888212546 "no"
"40" 40 4.10479474979721 "no"
