c1	 c2	 c3	 c4	 c5
2992.9	 2029	 2228	 2988.8	 3199.4
2995.5	 1936.5	 2224.2	 3016.1	 3210.2
2992.6	 2001.5	 2127.6	 3011.9	 3170.6
3014.3	 1990.8	 2055.8	 3012.6	 3199.6
2993.7	 2039.1	 2151.4	 3000.9	 3154.3
2978	 1981.2	 2213.3	 3004.3	 3186
3001.3	 2008.2	 2226.9	 2944.7	 3154
2995.7	 2071.2	 2260.8	 3019.5	 3188.7
2989.8	 2023	 2198	 3012.5	 3200.5
2992.8	 2002.8	 2208.2	 3002.7	 3170.9
3006.3	 2005.2	 2191.1	 3016.7	 3195.5
2996.4	 1991.3	 2194.4	 2973.2	 3167.5
2997.2	 1988.4	 2201	 2981	 3214.5
3006.2	 2011.2	 2173.7	 2954	 3235.8
2994.3	 2019.7	 2050.8	 3018.8	 3158.9
3001	 2026.3	 2217.9	 3000.4	 3190.8
3010.1	 1988.8	 2195.6	 3008.2	 3211.8
2994.2	 1934.7	 2329.2	 2997.9	 3159.8
3006.2	 2048.4	 2187	 2986	 3185.7
3012.3	 1995.2	 2228.6	 3043	 3206.2
3014.5	 2017.5	 2299.3	 2976	 3242.4
3016.9	 1966.6	 2256.1	 2999.5	 3188.9
2992.2	 2091.8	 2231.9	 3019.7	 3170.1
3011.5	 2008.5	 2231.8	 2995.3	 3228.2
2979.1	 2015.4	 2217.3	 3042.6	 3200.2
3004.5	 1894.8	 2315.2	 3015.9	 3182
3002.4	 1956	 2192.8	 3014.4	 3161.8
3002.7	 2089.1	 2192.8	 2965.5	 3213.3
2980.4	 2039.8	 2256.1	 3012.1	 3216.9
3006.4	 1960.8	 2189.4	 2954.5	 3257.7
2985.2	 2082.3	 2155.8	 2986.5	 3176.9
3002.7	 2108.2	 2241.4	 2986.5	 3175.5
3013.8	 1926.8	 2221.9	 2998.7	 3194.2
3004.7	 2076.3	 2169.9	 3004.1	 3206.5
2997.9	 2036.5	 2242.9	 2983.8	 3215.7
3012.4	 1996.9	 2235.2	 2984.8	 3198.5
2982.7	 2020.8	 2220.4	 2985.6	 3200.9
3005.4	 2030.8	 2224.2	 2994.5	 3186.4
2996	 2002.4	 2209.5	 3018	 3222.9
3007.5	 2002.2	 2219	 2999.1	 3167.1
2989.7	 1987.4	 2244.4	 2989.5	 3199.3
2983.6	 2001.8	 2151.8	 3043.2	 3167.7
2988.3	 1972.5	 2170.9	 2965.6	 3174.3
2997.1	 1985.3	 2200.6	 3030	 3180.5
2995.4	 1975.7	 2278.2	 2973.9	 3215.6
2990.7	 2037.6	 2278.2	 3000.3	 3194.2
2982.4	 2040	 2128.6	 3032.3	 3192.7
2997.9	 2008.6	 2336.4	 2990.6	 3218
3008	 1973.9	 2130.7	 3009.3	 3174.3
2992.3	 2055	 2264.7	 2976.1	 3237.5
