m1	 m2	 m3	 m4
30.25	 35.25	 27	 0
32.5	 29	 28.75	 0
31.25	 37	 22.75	 0
34.75	 38.75	 13.25	 106.25
31.75	 34.5	 33.75	 0
36.75	 36.25	 27.5	 109.25
32.25	 31.75	 37	 148.75
33.25	 32	 30.75	 7.5
31.25	 30.75	 25.5	 0
38.25	 40	 22	 173.5
33	 36.75	 13.5	 160
32.25	 30.5	 36.25	 133
33.5	 34.75	 39.75	 43
36.75	 34	 39.5	 0
32	 42	 39.5	 175.75
30.25	 31.75	 30.5	 59.5
32	 33.5	 9.5	 0
34.75	 29	 17.75	 191
32.75	 39	 41.75	 0
29.75	 32.5	 32.75	 0
30	 33.25	 33.25	 21.75
32.75	 36.25	 20.25	 132.75
38	 42.75	 28	 0
35.5	 38.25	 20.25	 0
36.25	 44	 37.75	 122
31.75	 31	 32.25	 12.75
30.5	 38	 28.75	 0
31.75	 35	 28	 0
33.75	 38.75	 42.5	 50.75
30	 33	 40	 0
34.75	 30.75	 25	 0
29	 35.75	 16	 0
33	 42	 31.5	 48.5
29.5	 41.75	 38.25	 61.5
34.75	 29	 19	 0
35.25	 33.25	 23.75	 249.75
28.75	 43.25	 26.75	 72.5
29.25	 34.5	 35	 120.75
30	 30.25	 43	 178
33.5	 29.75	 24	 85.75
31.75	 45.5	 30.5	 88
29.5	 32.25	 42.5	 104.25
35	 31	 32.25	 98
32.75	 44	 27.5	 60
32	 45	 17.75	 181.5
33.5	 42.5	 18.5	 147.25
30	 28.25	 33	 0
31	 38.5	 25.5	 5.25
34.75	 46.75	 20.25	 144.5
32.5	 35.25	 36.75	 96.25
