w1	 w2	 w3	 w4
31	 20.5	 25.5	 23.75
32.25	 24.5	 30.25	 32.25
35	 20	 47.75	 27
33.75	 13.5	 8.75	 24.25
30.75	 28.5	 18.25	 28.75
36.25	 35.25	 16	 30.5
32.25	 32.5	 44.75	 27
33.5	 37.75	 15.25	 26.25
29.5	 32.25	 31.75	 21.25
31.75	 40.25	 6.75	 20.5
32.75	 44.75	 52.5	 25.25
34.25	 17	 34.75	 23.5
32.75	 35	 39.75	 27.25
29.75	 17.25	 21	 31.5
31.75	 25.75	 55.25	 20.25
28	 6.5	 19.25	 20.25
33.25	 34.75	 47.25	 28.75
38	 40.75	 32	 24
34.75	 43.75	 10.75	 32.75
34.25	 18.5	 35.25	 23
30.75	 38	 0	 22.5
35.75	 26.75	 52.5	 17
29.75	 21.5	 49	 33
31.75	 59	 34.75	 22
28.25	 25.5	 12.5	 21.75
35.25	 10.75	 54.5	 29.75
30	 23.25	 20.5	 23
31	 0	 33.75	 22.5
32.75	 28	 47.75	 30.5
30.5	 27.25	 50	 31.25
32	 38.75	 16.75	 17.25
32.75	 57	 18.75	 24.5
31.25	 31	 41.5	 24.25
31.75	 20.25	 15	 25
34.25	 21.5	 41	 25.25
28.25	 40	 49.5	 33
30.5	 24.75	 4	 22.25
34.5	 26.5	 41.25	 22
31	 25.75	 28.75	 33.25
32.25	 31	 36	 31.75
33.25	 51	 64.25	 22.25
31	 37	 29	 28.75
30	 61.75	 40.5	 27.25
30.25	 22.25	 2.5	 30.25
35.75	 31.5	 35.75	 19
35.5	 26.75	 47.5	 20.5
33.5	 35	 46.5	 32.5
34	 18.75	 52.25	 22.25
33.75	 28.75	 29	 20
34.5	 33.75	 59	 31
