teacher	 admin	 personal
47	 40	 57
38	 36	 40
39	 37	 28
41	 40	 50
36	 37	 32
38	 35	 39
44	 40	 32
39	 39	 48
39	 41	 41
39	 43	 49
32	 41	 43
41	 37	 43
36	 40	 57
44	 44	 48
40	 42	 32
29	 41	 39
35	 38	 49
37	 39	 32
37	 42	 44
41	 39	 26
38	 41	 35
43	 38	 30
41	 41	 54
39	 40	 34
41	 39	 26
37	 39	 58
38	 47	 33
43	 39	 43
37	 40	 36
42	 37	 39
39	 38	 39
42	 37	 37
41	 40	 38
37	 40	 53
37	 37	 43
40	 39	 34
39	 38	 54
39	 41	 53
50	 39	 26
39	 37	 55
33	 40	 57
45	 38	 59
42	 40	 55
41	 35	 43
43	 37	 57
43	 41	 53
37	 37	 36
46	 42	 42
42	 40	 37
39	 41	 29
35	 40	 26
33	 39	 56
42	 40	 55
37	 39	 47
43	 42	 52
40	 41	 27
40	 40	 49
37	 40	 53
41	 39	 52
35	 41	 27
37	 38	 30
47	 42	 57
35	 43	 36
37	 38	 50
42	 37	 34
38	 38	 39
41	 38	 45
41	 40	 45
36	 40	 36
37	 39	 46
44	 42	 34
40	 41	 36
34	 38	 55
39	 38	 29
38	 37	 59
41	 41	 28
49	 38	 36
36	 37	 27
42	 41	 39
36	 41	 39
50	 40	 26
39	 41	 53
45	 42	 53
38	 40	 44
36	 39	 53
43	 38	 49
36	 38	 27
39	 38	 56
43	 40	 55
40	 40	 56
46	 37	 56
38	 40	 54
34	 40	 31
41	 36	 49
41	 42	 41
44	 39	 46
40	 41	 42
37	 42	 38
37	 41	 53
41	 39	 53
