skovo	 kastrul
20018	 11459
18618	 15570
20748	 28530
21562	 21264
15648	 27360
25991	 23842
23025	 24851
22767	 26928
25176	 25584
24472	 10462
22882	 17506
22277	 13410
27510	 17383
25979	 22443
17225	 25022
21934	 27270
19036	 22301
23097	 18571
24345	 17181
23064	 23380
25426	 21271
15156	 26215
20887	 19978
23061	 21111
24574	 22079
21712	 24147
23235	 19295
21554	 16876
21124	 23150
24342	 21175
21777	 12223
21234	 22281
24350	 12036
24695	 13057
18255	 18301
16896	 28094
25557	 18976
23377	 18696
24767	 24702
21071	 23831
23676	 30192
18491	 24568
21355	 27054
15947	 9132
16520	 20876
17633	 9041
26565	 21335
23190	 17666
20698	 26723
17358	 23334
21202	 16548
25268	 14111
25869	 16344
17971	 22790
18998	 13544
20421	 17272
27045	 20138
24656	 20252
24380	 27740
22030	 25592
21491	 15314
23025	 22013
25190	 29290
23110	 25490
22201	 25630
22092	 25008
24155	 23243
18122	 25804
23121	 21201
21431	 21670
21076	 20171
23301	 21116
27281	 17105
20252	 17741
16876	 24243
24091	 27363
21037	 18564
24149	 17288
18173	 30687
18880	 25911
23134	 23297
23192	 22637
26314	 25415
24274	 18974
26154	 23628
24457	 25054
20187	 13955
15027	 24409
19308	 24337
22194	 22294
21025	 24116
23883	 16298
19574	 23278
21135	 22182
21231	 24547
26329	 23587
26668	 20537
24811	 20839
20874	 13725
25771	 17366
19548	 15261
22883	 27402
23937	 14368
22661	 22023
26038	 20286
19366	 24547
24231	 22709
16361	 28852
19629	 20252
20369	 19265
25149	 16771
19927	 22139
22444	 17981
23793	 19478
24794	 18938
21983	 18145
24941	 29014
22873	 18036
17599	 22911
24814	 18463
26052	 14315
28704	 18099
21927	 27429
19585	 26420
24383	 17079
23379	 24935
21731	 27578
22918	 15562
22899	 16578
19583	 30392
20423	 28507
22588	 24441
21308	 22159
23673	 11552
24188	 21674
20157	 14113
18690	 26073
30251	 24540
24905	 19356
18768	 21127
16159	 20484
19615	 23877
19427	 22290
20398	 24858
16693	 22163
20680	 18195
25546	 14802
20639	 21107
26579	 25700
19212	 19423
21204	 13013
25132	 21847
19110	 14406
24038	 17815
21968	 30409
23109	 25250
17030	 16871
24284	 25626
17600	 22513
24433	 22651
22926	 36753
23354	 19036
22504	 13902
26135	 20636
13318	 14556
22567	 28373
15666	 11994
23225	 28040
20604	 23220
21090	 17709
17864	 29103
23010	 20790
21173	 17456
19095	 19416
19654	 33056
19731	 21274
22179	 21665
21073	 24003
19211	 21927
20041	 27698
21446	 16500
19370	 20563
17155	 19896
17926	 19328
21293	 26063
26304	 17438
20858	 26099
23848	 27561
21884	 9092
21826	 25966
23044	 21848
22696	 33253
17769	 23378
28791	 15302
22648	 27952
23399	 20045
24338	 21165
20818	 27124
27566	 23242
20792	 21805
21992	 16970
22367	 24220
20043	 25721
22961	 24884
23022	 12614
22754	 17814
18124	 17146
19551	 27067
20110	 19641
17029	 16964
